"","Limit_Outdoor_Active","Limit_Exercise_Home","Limit_Exercise_Gym","Limit_People","Limit_Groups","Limit_Travel","Health_General","COVID_Worry","COVID_Too_Much_Time","COVID_Lot_Time","COVID_Afraid","COVID_Irritable","COVID_Guilty","COVID_Sad","COVID_Preoccupied","COVID_Stressed","Hrs_Screen","Hrs_Outdoor","Hrs_Exercise","Educ_Mom","Educ_Dad","Educ_Self","Income_Relative","Class_Self","Class_Mom","Class_Dad","Park_Use","Infected_Any","Female","BMI","Educ_College_Grad","ResponseId","Age","Source","GIS_ZIP","Ethnoracial_Group","COVID_F2_LostTime","COVID_F1_BadMoods","Type","Classification","Classification_High","Ethnoracial_Group_f","NHWhite_f","Ethnoracial_Group_White1_Asian2","Age_3Groups","Age_18to25","Source_NCSU","Class_Self_group","Class_Mom_group","Class_Dad_group","Income_Relative_group","Educ_Mom_group","Educ_Dad_group","Health_General_group","BMI_group","Hrs_Outdoor_group","Hrs_Screen_group","Hrs_Exercise_group"
"1526",1,1,5,5,5,5,5,7,6,7,90.42,81.55,90.85,99.58,99.44,100,10.1,4,1.4,5,3,6,3,2,2,2,1,1,1,22.8625457250914,0,"R_2CBLtorCKxsQgJl","33 to 44","NCState",27518,"NHWhite",1.49546461434444,1.3534107537738,"3","High",1,"NHWhite","1","1","Over 32","0","1",1,1,1,2,2,1,2,2,3,2,3
"1527",1,1,5,5,5,5,3,3,2,3,58.53,59.32,0,59.1,57.74,62.37,8,1,1,6,2,3,3,3,3,3,4,0,0,24.1283352632168,0,"R_1YcVzyPm0hXoK7T","25 to 32","NCState",27610,"NHWhite",-0.844155821641462,0.0612109891922936,"1","Med",0,"NHWhite","1","1","25 to 32","0","1",2,2,2,2,2,1,2,2,2,2,3
"1528",2,2,5,4,5,5,5,3,5,5,29.15,29.44,3.8,19.01,49.58,29.3,7,1,0.5,7,5,3,5,4,4,2,3,0,1,20.5264523850847,0,"R_3qqUpg43a0ejmSw","18 to 24","NCState",29492,"NHWhite",0.118794674851013,-0.977099775095041,"1","Med",0,"NHWhite","1","1","18 to 24","1","1",3,3,1,3,2,2,2,2,2,1,1
"1529",5,3,5,5,5,4,1,2,1,5,0,0,60.99,70.85,0,40.14,12,0.5,0.5,3,3,5,2,1,1,3,1,0,0,27.1966784758803,1,"R_1jkcHJ84HHGEtlm","25 to 32","NCState",92804,"NHWhite",-0.85658725399551,-1.30626254837765,"2","Low",0,"NHWhite","1","1","25 to 32","0","1",1,1,2,1,1,1,1,3,1,2,1
"1530",4,1,5,4,5,5,3,5,3,4,55.63,60.56,0.14,57.04,63.1,60.99,8.6,0.9,0.4,6,5,3,4,4,4,4,4,0,1,31.4734747926796,0,"R_1F8MqBJ1lSKitU4","18 to 24","NCState",27519,NA,-0.0589372887729399,0.0632859000944319,"1","Med",0,NA,NA,NA,"18 to 24","1","1",3,3,3,3,2,2,2,4,1,2,1
"1531",3,2,5,3,4,4,4,2,2,1,40,12.58,24.84,31.61,55.48,78.71,8,2,1,4,5,3,4,3,3,4,4,0,0,23.6747726556678,0,"R_3pchbQTecVaR7o8","18 to 24","NCState",27613,"NHWhite",-1.42611836327513,-0.504226238626975,"1","Med",0,"NHWhite","1","1","18 to 24","1","1",2,2,3,3,1,2,2,2,3,2,3
"1532",2,4,1,2,4,4,5,1,1,1,0.32,0,0,1.61,0,0.32,10,1,0.3,6,4,5,3,3,4,3,3,1,1,26.3122283428795,1,"R_2Bm7thtpCl9CVES","18 to 24","NCState",29063,"NHBlack",-1.82019891339079,-2.12033817970351,"2","Low",0,"NHBlack","0","0","18 to 24","1","1",2,3,2,2,2,1,2,3,2,2,1
"1533",4,1,5,5,5,5,4,7,6,6,100,75.77,9.15,100,80.99,91.69,12,2,0.9,2,6,6,1,1,1,1,3,0,0,26.4993277457295,0,"R_SUfgacNWHewCHgl","25 to 32","NCState",27606,"NHAsian",1.30464005546363,1.18387861234842,"3","High",1,"NHAsian","0","2","25 to 32","0","1",1,1,1,1,1,5,2,3,3,2,2
"1534",3,1,5,5,5,4,4,1,1,1,0,56.16,0,0,0,0,3,1.5,5,5,5,3,3.28084158889537,3,3,3,4,0,0,28.7477104731987,0,"R_1q3u1MaIOlQqK1a","18 to 24","NCState",28594,"NHWhite",-1.82019891339079,-1.73777272498573,"2","Low",0,"NHWhite","1","1","18 to 24","1","1",2,2,2,3,2,2,2,3,2,1,3
"1535",5,2,5,5,5,5,2,6,6,6,80.85,59.86,8.59,80.99,80.56,100,9,0,0.3,2,4,3,3,3,2,3,3,1,0,26.4993277457295,0,"R_sMtMu71uvsRpHoJ","18 to 24","NCState",28273,"NHAsian",1.10432663159158,0.848854791223207,"3","High",1,"NHAsian","0","2","18 to 24","1","1",2,1,2,2,1,1,1,3,1,2,1
